date,origin,destination,origin_name,destination_name,airline_code,airline_name,airline_type,season,price_twd
2023-07-01,KHH,KIX,高雄小港,大阪關西,CI,中華航空,traditional,summer,9340
2023-07-01,KHH,KIX,高雄小港,大阪關西,BR,長榮航空,traditional,summer,9875
2023-07-01,KHH,KIX,高雄小港,大阪關西,IT,台灣虎航,lcc,summer,7489
2023-07-01,KHH,KIX,高雄小港,大阪關西,TR,酷航,lcc,summer,7344
2023-07-01,KHH,KIX,高雄小港,大阪關西,JQ,捷星亞洲,lcc,summer,7688
2023-07-02,TPE,NRT,台北桃園,東京成田,CI,中華航空,traditional,summer,9308
2023-07-02,TPE,NRT,台北桃園,東京成田,BR,長榮航空,traditional,summer,10444
2023-07-02,TPE,NRT,台北桃園,東京成田,IT,台灣虎航,lcc,summer,7421
2023-07-02,TPE,NRT,台北桃園,東京成田,TR,酷航,lcc,summer,7031
2023-07-02,TPE,NRT,台北桃園,東京成田,JQ,捷星亞洲,lcc,summer,6569
2023-07-02,TPE,HND,台北桃園,東京羽田,CI,中華航空,traditional,summer,10114
2023-07-02,TPE,HND,台北桃園,東京羽田,BR,長榮航空,traditional,summer,8953
2023-07-02,TPE,HND,台北桃園,東京羽田,IT,台灣虎航,lcc,summer,6418
2023-07-02,TPE,HND,台北桃園,東京羽田,TR,酷航,lcc,summer,7462
2023-07-02,TPE,HND,台北桃園,東京羽田,JQ,捷星亞洲,lcc,summer,6774
2023-07-02,TPE,KIX,台北桃園,大阪關西,CI,中華航空,traditional,summer,8502
2023-07-02,TPE,KIX,台北桃園,大阪關西,BR,長榮航空,traditional,summer,8963
2023-07-02,TPE,KIX,台北桃園,大阪關西,IT,台灣虎航,lcc,summer,6128
2023-07-02,TPE,KIX,台北桃園,大阪關西,TR,酷航,lcc,summer,5880
2023-07-02,TPE,KIX,台北桃園,大阪關西,JQ,捷星亞洲,lcc,summer,6061
2023-07-02,KHH,NRT,高雄小港,東京成田,CI,中華航空,traditional,summer,12132
2023-07-02,KHH,NRT,高雄小港,東京成田,BR,長榮航空,traditional,summer,9881
2023-07-02,KHH,NRT,高雄小港,東京成田,IT,台灣虎航,lcc,summer,8910
2023-07-02,KHH,NRT,高雄小港,東京成田,TR,酷航,lcc,summer,7583
2023-07-02,KHH,NRT,高雄小港,東京成田,JQ,捷星亞洲,lcc,summer,6555
2023-07-02,KHH,KIX,高雄小港,大阪關西,CI,中華航空,traditional,summer,10705
2023-07-02,KHH,KIX,高雄小港,大阪關西,BR,長榮航空,traditional,summer,9541
2023-07-02,KHH,KIX,高雄小港,大阪關西,IT,台灣虎航,lcc,summer,8128
2023-07-02,KHH,KIX,高雄小港,大阪關西,TR,酷航,lcc,summer,6855
2023-07-02,KHH,KIX,高雄小港,大阪關西,JQ,捷星亞洲,lcc,summer,5938
2023-07-03,TPE,NRT,台北桃園,東京成田,CI,中華航空,traditional,summer,9280
2023-07-03,TPE,NRT,台北桃園,東京成田,BR,長榮航空,traditional,summer,9712
2023-07-03,TPE,NRT,台北桃園,東京成田,IT,台灣虎航,lcc,summer,6243
2023-07-03,TPE,NRT,台北桃園,東京成田,TR,酷航,lcc,summer,6046
2023-07-03,TPE,NRT,台北桃園,東京成田,JQ,捷星亞洲,lcc,summer,5356
2023-07-03,TPE,HND,台北桃園,東京羽田,CI,中華航空,traditional,summer,8911
2023-07-03,TPE,HND,台北桃園,東京羽田,BR,長榮航空,traditional,summer,9833
2023-07-03,TPE,HND,台北桃園,東京羽田,IT,台灣虎航,lcc,summer,7296
2023-07-03,TPE,HND,台北桃園,東京羽田,TR,酷航,lcc,summer,6739
2023-07-03,TPE,HND,台北桃園,東京羽田,JQ,捷星亞洲,lcc,summer,6950
2023-07-03,TPE,KIX,台北桃園,大阪關西,CI,中華航空,traditional,summer,8330
2023-07-03,TPE,KIX,台北桃園,大阪關西,BR,長榮航空,traditional,summer,8705
2023-07-03,TPE,KIX,台北桃園,大阪關西,IT,台灣虎航,lcc,summer,6016
2023-07-03,TPE,KIX,台北桃園,大阪關西,TR,酷航,lcc,summer,5106
2023-07-03,TPE,KIX,台北桃園,大阪關西,JQ,捷星亞洲,lcc,summer,5098
2023-07-03,KHH,NRT,高雄小港,東京成田,CI,中華航空,traditional,summer,8560
2023-07-03,KHH,NRT,高雄小港,東京成田,BR,長榮航空,traditional,summer,10436
2023-07-03,KHH,NRT,高雄小港,東京成田,IT,台灣虎航,lcc,summer,6177
2023-07-03,KHH,NRT,高雄小港,東京成田,TR,酷航,lcc,summer,7024
2023-07-03,KHH,NRT,高雄小港,東京成田,JQ,捷星亞洲,lcc,summer,6456
2023-07-03,KHH,KIX,高雄小港,大阪關西,CI,中華航空,traditional,summer,9602
2023-07-03,KHH,KIX,高雄小港,大阪關西,BR,長榮航空,traditional,summer,8936
2023-07-03,KHH,KIX,高雄小港,大阪關西,IT,台灣虎航,lcc,summer,6822
2023-07-03,KHH,KIX,高雄小港,大阪關西,TR,酷航,lcc,summer,5549
2023-07-03,KHH,KIX,高雄小港,大阪關西,JQ,捷星亞洲,lcc,summer,5808
2023-07-04,TPE,NRT,台北桃園,東京成田,CI,中華航空,traditional,summer,10119
2023-07-04,TPE,NRT,台北桃園,東京成田,BR,長榮航空,traditional,summer,9378
2023-07-04,TPE,NRT,台北桃園,東京成田,IT,台灣虎航,lcc,summer,6651
2023-07-04,TPE,NRT,台北桃園,東京成田,TR,酷航,lcc,summer,6848
2023-07-04,TPE,NRT,台北桃園,東京成田,JQ,捷星亞洲,lcc,summer,6758
2023-07-04,TPE,HND,台北桃園,東京羽田,CI,中華航空,traditional,summer,7675
2023-07-04,TPE,HND,台北桃園,東京羽田,BR,長榮航空,traditional,summer,10047
2023-07-04,TPE,HND,台北桃園,東京羽田,IT,台灣虎航,lcc,summer,6882
2023-07-04,TPE,HND,台北桃園,東京羽田,TR,酷航,lcc,summer,6241
2023-07-04,TPE,HND,台北桃園,東京羽田,JQ,捷星亞洲,lcc,summer,6493
2023-07-04,TPE,KIX,台北桃園,大阪關西,CI,中華航空,traditional,summer,7627
2023-07-04,TPE,KIX,台北桃園,大阪關西,BR,長榮航空,traditional,summer,8907
2023-07-04,TPE,KIX,台北桃園,大阪關西,IT,台灣虎航,lcc,summer,6504
2023-07-04,TPE,KIX,台北桃園,大阪關西,TR,酷航,lcc,summer,6002
2023-07-04,TPE,KIX,台北桃園,大阪關西,JQ,捷星亞洲,lcc,summer,5066
2023-07-04,KHH,NRT,高雄小港,東京成田,CI,中華航空,traditional,summer,10943
2023-07-04,KHH,NRT,高雄小港,東京成田,BR,長榮航空,traditional,summer,9406
2023-07-04,KHH,NRT,高雄小港,東京成田,IT,台灣虎航,lcc,summer,8087
2023-07-04,KHH,NRT,高雄小港,東京成田,TR,酷航,lcc,summer,5990
2023-07-04,KHH,NRT,高雄小港,東京成田,JQ,捷星亞洲,lcc,summer,5962
2023-07-04,KHH,KIX,高雄小港,大阪關西,CI,中華航空,traditional,summer,7884
2023-07-04,KHH,KIX,高雄小港,大阪關西,BR,長榮航空,traditional,summer,7915
2023-07-04,KHH,KIX,高雄小港,大阪關西,IT,台灣虎航,lcc,summer,6249
2023-07-04,KHH,KIX,高雄小港,大阪關西,TR,酷航,lcc,summer,6734
2023-07-04,KHH,KIX,高雄小港,大阪關西,JQ,捷星亞洲,lcc,summer,5875
2023-07-05,TPE,NRT,台北桃園,東京成田,CI,中華航空,traditional,summer,9964
2023-07-05,TPE,NRT,台北桃園,東京成田,BR,長榮航空,traditional,summer,9843
2023-07-05,TPE,NRT,台北桃園,東京成田,IT,台灣虎航,lcc,summer,7285
2023-07-05,TPE,NRT,台北桃園,東京成田,TR,酷航,lcc,summer,5862
2023-07-05,TPE,NRT,台北桃園,東京成田,JQ,捷星亞洲,lcc,summer,6410
2023-07-05,TPE,HND,台北桃園,東京羽田,CI,中華航空,traditional,summer,8934
2023-07-05,TPE,HND,台北桃園,東京羽田,BR,長榮航空,traditional,summer,7810
2023-07-05,TPE,HND,台北桃園,東京羽田,IT,台灣虎航,lcc,summer,6210
2023-07-05,TPE,HND,台北桃園,東京羽田,TR,酷航,lcc,summer,6400
2023-07-05,TPE,HND,台北桃園,東京羽田,JQ,捷星亞洲,lcc,summer,6165
2023-07-05,TPE,KIX,台北桃園,大阪關西,CI,中華航空,traditional,summer,7205
2023-07-05,TPE,KIX,台北桃園,大阪關西,BR,長榮航空,traditional,summer,9060
2023-07-05,TPE,KIX,台北桃園,大阪關西,IT,台灣虎航,lcc,summer,5378
2023-07-05,TPE,KIX,台北桃園,大阪關西,TR,酷航,lcc,summer,6034
2023-07-05,TPE,KIX,台北桃園,大阪關西,JQ,捷星亞洲,lcc,summer,5971
2023-07-05,KHH,NRT,高雄小港,東京成田,CI,中華航空,traditional,summer,9903
2023-07-05,KHH,NRT,高雄小港,東京成田,BR,長榮航空,traditional,summer,10586
2023-07-05,KHH,NRT,高雄小港,東京成田,IT,台灣虎航,lcc,summer,7337
2023-07-05,KHH,NRT,高雄小港,東京成田,TR,酷航,lcc,summer,7586
2023-07-05,KHH,NRT,高雄小港,東京成田,JQ,捷星亞洲,lcc,summer,5769
2023-07-05,KHH,KIX,高雄小港,大阪關西,CI,中華航空,traditional,summer,7600
2023-07-05,KHH,KIX,高雄小港,大阪關西,BR,長榮航空,traditional,summer,9173
2023-07-05,KHH,KIX,高雄小港,大阪關西,IT,台灣虎航,lcc,summer,6752
2023-07-05,KHH,KIX,高雄小港,大阪關西,TR,酷航,lcc,summer,6623
2023-07-05,KHH,KIX,高雄小港,大阪關西,JQ,捷星亞洲,lcc,summer,6653
2023-07-06,TPE,NRT,台北桃園,東京成田,CI,中華航空,traditional,summer,8580
2023-07-06,TPE,NRT,台北桃園,東京成田,BR,長榮航空,traditional,summer,9167
2023-07-06,TPE,NRT,台北桃園,東京成田,IT,台灣虎航,lcc,summer,6596
2023-07-06,TPE,NRT,台北桃園,東京成田,TR,酷航,lcc,summer,6578
2023-07-06,TPE,NRT,台北桃園,東京成田,JQ,捷星亞洲,lcc,summer,5771
2023-07-06,TPE,HND,台北桃園,東京羽田,CI,中華航空,traditional,summer,10006
2023-07-06,TPE,HND,台北桃園,東京羽田,BR,長榮航空,traditional,summer,8755
2023-07-06,TPE,HND,台北桃園,東京羽田,IT,台灣虎航,lcc,summer,7203
2023-07-06,TPE,HND,台北桃園,東京羽田,TR,酷航,lcc,summer,6688
2023-07-06,TPE,HND,台北桃園,東京羽田,JQ,捷星亞洲,lcc,summer,5786
2023-07-06,TPE,KIX,台北桃園,大阪關西,CI,中華航空,traditional,summer,6975
2023-07-06,TPE,KIX,台北桃園,大阪關西,BR,長榮航空,traditional,summer,6944
2023-07-06,TPE,KIX,台北桃園,大阪關西,IT,台灣虎航,lcc,summer,5891
2023-07-06,TPE,KIX,台北桃園,大阪關西,TR,酷航,lcc,summer,5733
2023-07-06,TPE,KIX,台北桃園,大阪關西,JQ,捷星亞洲,lcc,summer,5103
2023-07-06,KHH,NRT,高雄小港,東京成田,CI,中華航空,traditional,summer,9907
2023-07-06,KHH,NRT,高雄小港,東京成田,BR,長榮航空,traditional,summer,9060
2023-07-06,KHH,NRT,高雄小港,東京成田,IT,台灣虎航,lcc,summer,7672
2023-07-06,KHH,NRT,高雄小港,東京成田,TR,酷航,lcc,summer,7398
2023-07-06,KHH,NRT,高雄小港,東京成田,JQ,捷星亞洲,lcc,summer,7447
2023-07-06,KHH,KIX,高雄小港,大阪關西,CI,中華航空,traditional,summer,10055
2023-07-06,KHH,KIX,高雄小港,大阪關西,BR,長榮航空,traditional,summer,7825
2023-07-06,KHH,KIX,高雄小港,大阪關西,IT,台灣虎航,lcc,summer,6344
2023-07-06,KHH,KIX,高雄小港,大阪關西,TR,酷航,lcc,summer,6453
2023-07-06,KHH,KIX,高雄小港,大阪關西,JQ,捷星亞洲,lcc,summer,5826
2023-07-07,TPE,NRT,台北桃園,東京成田,CI,中華航空,traditional,summer,8711
2023-07-07,TPE,NRT,台北桃園,東京成田,BR,長榮航空,traditional,summer,8186
2023-07-07,TPE,NRT,台北桃園,東京成田,IT,台灣虎航,lcc,summer,6101
2023-07-07,TPE,NRT,台北桃園,東京成田,TR,酷航,lcc,summer,5570
2023-07-07,TPE,NRT,台北桃園,東京成田,JQ,捷星亞洲,lcc,summer,5772
2023-07-07,TPE,HND,台北桃園,東京羽田,CI,中華航空,traditional,summer,8494
2023-07-07,TPE,HND,台北桃園,東京羽田,BR,長榮航空,traditional,summer,9105
2023-07-07,TPE,HND,台北桃園,東京羽田,IT,台灣虎航,lcc,summer,6102
2023-07-07,TPE,HND,台北桃園,東京羽田,TR,酷航,lcc,summer,7030
2023-07-07,TPE,HND,台北桃園,東京羽田,JQ,捷星亞洲,lcc,summer,5531
2023-07-07,TPE,KIX,台北桃園,大阪關西,CI,中華航空,traditional,summer,7586
2023-07-07,TPE,KIX,台北桃園,大阪關西,BR,長榮航空,traditional,summer,8186
2023-07-07,TPE,KIX,台北桃園,大阪關西,IT,台灣虎航,lcc,summer,5663
2023-07-07,TPE,KIX,台北桃園,大阪關西,TR,酷航,lcc,summer,6215
2023-07-07,TPE,KIX,台北桃園,大阪關西,JQ,捷星亞洲,lcc,summer,5597
2023-07-07,KHH,NRT,高雄小港,東京成田,CI,中華航空,traditional,summer,9642
2023-07-07,KHH,NRT,高雄小港,東京成田,BR,長榮航空,traditional,summer,9596
2023-07-07,KHH,NRT,高雄小港,東京成田,IT,台灣虎航,lcc,summer,6786
2023-07-07,KHH,NRT,高雄小港,東京成田,TR,酷航,lcc,summer,5923
2023-07-07,KHH,NRT,高雄小港,東京成田,JQ,捷星亞洲,lcc,summer,7618
2023-07-07,KHH,KIX,高雄小港,大阪關西,CI,中華航空,traditional,summer,8814
2023-07-07,KHH,KIX,高雄小港,大阪關西,BR,長榮航空,traditional,summer,10032
2023-07-07,KHH,KIX,高雄小港,大阪關西,IT,台灣虎航,lcc,summer,6036
2023-07-07,KHH,KIX,高雄小港,大阪關西,TR,酷航,lcc,summer,6056
2023-07-07,KHH,KIX,高雄小港,大阪關西,JQ,捷星亞洲,lcc,summer,5329
2023-07-08,TPE,NRT,台北桃園,東京成田,CI,中華航空,traditional,summer,9665
2023-07-08,TPE,NRT,台北桃園,東京成田,BR,長榮航空,traditional,summer,10790
2023-07-08,TPE,NRT,台北桃園,東京成田,IT,台灣虎航,lcc,summer,7596
2023-07-08,TPE,NRT,台北桃園,東京成田,TR,酷航,lcc,summer,6908
2023-07-08,TPE,NRT,台北桃園,東京成田,JQ,捷星亞洲,lcc,summer,6851
2023-07-08,TPE,HND,台北桃園,東京羽田,CI,中華航空,traditional,summer,10688
2023-07-08,TPE,HND,台北桃園,東京羽田,BR,長榮航空,traditional,summer,9479
2023-07-08,TPE,HND,台北桃園,東京羽田,IT,台灣虎航,lcc,summer,8093
2023-07-08,TPE,HND,台北桃園,東京羽田,TR,酷航,lcc,summer,7445
2023-07-08,TPE,HND,台北桃園,東京羽田,JQ,捷星亞洲,lcc,summer,7312
2023-07-08,TPE,KIX,台北桃園,大阪關西,CI,中華航空,traditional,summer,8446
2023-07-08,TPE,KIX,台北桃園,大阪關西,BR,長榮航空,traditional,summer,8538
2023-07-08,TPE,KIX,台北桃園,大阪關西,IT,台灣虎航,lcc,summer,6739
2023-07-08,TPE,KIX,台北桃園,大阪關西,TR,酷航,lcc,summer,5756
2023-07-08,TPE,KIX,台北桃園,大阪關西,JQ,捷星亞洲,lcc,summer,6258
2023-07-08,KHH,NRT,高雄小港,東京成田,CI,中華航空,traditional,summer,9209
2023-07-08,KHH,NRT,高雄小港,東京成田,BR,長榮航空,traditional,summer,10573
2023-07-08,KHH,NRT,高雄小港,東京成田,IT,台灣虎航,lcc,summer,8548
2023-07-08,KHH,NRT,高雄小港,東京成田,TR,酷航,lcc,summer,7101
2023-07-08,KHH,NRT,高雄小港,東京成田,JQ,捷星亞洲,lcc,summer,8477
2023-07-08,KHH,KIX,高雄小港,大阪關西,CI,中華航空,traditional,summer,10204
2023-07-08,KHH,KIX,高雄小港,大阪關西,BR,長榮航空,traditional,summer,8573
2023-07-08,KHH,KIX,高雄小港,大阪關西,IT,台灣虎航,lcc,summer,8295
2023-07-08,KHH,KIX,高雄小港,大阪關西,TR,酷航,lcc,summer,6748
2023-07-08,KHH,KIX,高雄小港,大阪關西,JQ,捷星亞洲,lcc,summer,7375
2023-07-09,TPE,NRT,台北桃園,東京成田,CI,中華航空,traditional,summer,9213
2023-07-09,TPE,NRT,台北桃園,東京成田,BR,長榮航空,traditional,summer,10955
2023-07-09,TPE,NRT,台北桃園,東京成田,IT,台灣虎航,lcc,summer,7815
2023-07-09,TPE,NRT,台北桃園,東京成田,TR,酷航,lcc,summer,6340
2023-07-09,TPE,NRT,台北桃園,東京成田,JQ,捷星亞洲,lcc,summer,6795
2023-07-09,TPE,HND,台北桃園,東京羽田,CI,中華航空,traditional,summer,9680
2023-07-09,TPE,HND,台北桃園,東京羽田,BR,長榮航空,traditional,summer,8360
2023-07-09,TPE,HND,台北桃園,東京羽田,IT,台灣虎航,lcc,summer,6469
2023-07-09,TPE,HND,台北桃園,東京羽田,TR,酷航,lcc,summer,6621
2023-07-09,TPE,HND,台北桃園,東京羽田,JQ,捷星亞洲,lcc,summer,6723
2023-07-09,TPE,KIX,台北桃園,大阪關西,CI,中華航空,traditional,summer,8686
2023-07-09,TPE,KIX,台北桃園,大阪關西,BR,長榮航空,traditional,summer,9081
2023-07-09,TPE,KIX,台北桃園,大阪關西,IT,台灣虎航,lcc,summer,6631
2023-07-09,TPE,KIX,台北桃園,大阪關西,TR,酷航,lcc,summer,6009
2023-07-09,TPE,KIX,台北桃園,大阪關西,JQ,捷星亞洲,lcc,summer,6369
2023-07-09,KHH,NRT,高雄小港,東京成田,CI,中華航空,traditional,summer,9491
2023-07-09,KHH,NRT,高雄小港,東京成田,BR,長榮航空,traditional,summer,12114
2023-07-09,KHH,NRT,高雄小港,東京成田,IT,台灣虎航,lcc,summer,8489
2023-07-09,KHH,NRT,高雄小港,東京成田,TR,酷航,lcc,summer,7145
2023-07-09,KHH,NRT,高雄小港,東京成田,JQ,捷星亞洲,lcc,summer,7029
2023-07-09,KHH,KIX,高雄小港,大阪關西,CI,中華航空,traditional,summer,10633
2023-07-09,KHH,KIX,高雄小港,大阪關西,BR,長榮航空,traditional,summer,9774
2023-07-09,KHH,KIX,高雄小港,大阪關西,IT,台灣虎航,lcc,summer,7715
2023-07-09,KHH,KIX,高雄小港,大阪關西,TR,酷航,lcc,summer,6551
2023-07-09,KHH,KIX,高雄小港,大阪關西,JQ,捷星亞洲,lcc,summer,7418
2023-07-10,TPE,NRT,台北桃園,東京成田,CI,中華航空,traditional,summer,8452
2023-07-10,TPE,NRT,台北桃園,東京成田,BR,長榮航空,traditional,summer,9259
2023-07-10,TPE,NRT,台北桃園,東京成田,IT,台灣虎航,lcc,summer,7550
2023-07-10,TPE,NRT,台北桃園,東京成田,TR,酷航,lcc,summer,6495
2023-07-10,TPE,NRT,台北桃園,東京成田,JQ,捷星亞洲,lcc,summer,6708
2023-07-10,TPE,HND,台北桃園,東京羽田,CI,中華航空,traditional,summer,9395
2023-07-10,TPE,HND,台北桃園,東京羽田,BR,長榮航空,traditional,summer,9296
2023-07-10,TPE,HND,台北桃園,東京羽田,IT,台灣虎航,lcc,summer,5663
2023-07-10,TPE,HND,台北桃園,東京羽田,TR,酷航,lcc,summer,6288
2023-07-10,TPE,HND,台北桃園,東京羽田,JQ,捷星亞洲,lcc,summer,7023
2023-07-10,TPE,KIX,台北桃園,大阪關西,CI,中華航空,traditional,summer,8679
2023-07-10,TPE,KIX,台北桃園,大阪關西,BR,長榮航空,traditional,summer,8663
2023-07-10,TPE,KIX,台北桃園,大阪關西,IT,台灣虎航,lcc,summer,6140
2023-07-10,TPE,KIX,台北桃園,大阪關西,TR,酷航,lcc,summer,6143
2023-07-10,TPE,KIX,台北桃園,大阪關西,JQ,捷星亞洲,lcc,summer,5740
2023-07-10,KHH,NRT,高雄小港,東京成田,CI,中華航空,traditional,summer,8651
2023-07-10,KHH,NRT,高雄小港,東京成田,BR,長榮航空,traditional,summer,9972
2023-07-10,KHH,NRT,高雄小港,東京成田,IT,台灣虎航,lcc,summer,7459
2023-07-10,KHH,NRT,高雄小港,東京成田,TR,酷航,lcc,summer,7619
2023-07-10,KHH,NRT,高雄小港,東京成田,JQ,捷星亞洲,lcc,summer,6010
2023-07-10,KHH,KIX,高雄小港,大阪關西,CI,中華航空,traditional,summer,9277
2023-07-10,KHH,KIX,高雄小港,大阪關西,BR,長榮航空,traditional,summer,7563
2023-07-10,KHH,KIX,高雄小港,大阪關西,IT,台灣虎航,lcc,summer,7487
2023-07-10,KHH,KIX,高雄小港,大阪關西,TR,酷航,lcc,summer,5594
2023-07-10,KHH,KIX,高雄小港,大阪關西,JQ,捷星亞洲,lcc,summer,5271
2023-07-11,TPE,NRT,台北桃園,東京成田,CI,中華航空,traditional,summer,8308
2023-07-11,TPE,NRT,台北桃園,東京成田,BR,長榮航空,traditional,summer,7880
2023-07-11,TPE,NRT,台北桃園,東京成田,IT,台灣虎航,lcc,summer,6977
2023-07-11,TPE,NRT,台北桃園,東京成田,TR,酷航,lcc,summer,6166
2023-07-11,TPE,NRT,台北桃園,東京成田,JQ,捷星亞洲,lcc,summer,6668
2023-07-11,TPE,HND,台北桃園,東京羽田,CI,中華航空,traditional,summer,9910
2023-07-11,TPE,HND,台北桃園,東京羽田,BR,長榮航空,traditional,summer,9784
2023-07-11,TPE,HND,台北桃園,東京羽田,IT,台灣虎航,lcc,summer,7067
2023-07-11,TPE,HND,台北桃園,東京羽田,TR,酷航,lcc,summer,5504
2023-07-11,TPE,HND,台北桃園,東京羽田,JQ,捷星亞洲,lcc,summer,5491
2023-07-11,TPE,KIX,台北桃園,大阪關西,CI,中華航空,traditional,summer,7298
2023-07-11,TPE,KIX,台北桃園,大阪關西,BR,長榮航空,traditional,summer,7580
2023-07-11,TPE,KIX,台北桃園,大阪關西,IT,台灣虎航,lcc,summer,6292
2023-07-11,TPE,KIX,台北桃園,大阪關西,TR,酷航,lcc,summer,5804
2023-07-11,TPE,KIX,台北桃園,大阪關西,JQ,捷星亞洲,lcc,summer,5287
2023-07-11,KHH,NRT,高雄小港,東京成田,CI,中華航空,traditional,summer,8659
2023-07-11,KHH,NRT,高雄小港,東京成田,BR,長榮航空,traditional,summer,10787
2023-07-11,KHH,NRT,高雄小港,東京成田,IT,台灣虎航,lcc,summer,6859
2023-07-11,KHH,NRT,高雄小港,東京成田,TR,酷航,lcc,summer,6610
2023-07-11,KHH,NRT,高雄小港,東京成田,JQ,捷星亞洲,lcc,summer,7268
2023-07-11,KHH,KIX,高雄小港,大阪關西,CI,中華航空,traditional,summer,9383
2023-07-11,KHH,KIX,高雄小港,大阪關西,BR,長榮航空,traditional,summer,9178
2023-07-11,KHH,KIX,高雄小港,大阪關西,IT,台灣虎航,lcc,summer,6983
2023-07-11,KHH,KIX,高雄小港,大阪關西,TR,酷航,lcc,summer,6545
2023-07-11,KHH,KIX,高雄小港,大阪關西,JQ,捷星亞洲,lcc,summer,5591
2023-07-12,TPE,NRT,台北桃園,東京成田,CI,中華航空,traditional,summer,8131
2023-07-12,TPE,NRT,台北桃園,東京成田,BR,長榮航空,traditional,summer,8953
2023-07-12,TPE,NRT,台北桃園,東京成田,IT,台灣虎航,lcc,summer,6055
2023-07-12,TPE,NRT,台北桃園,東京成田,TR,酷航,lcc,summer,7235
2023-07-12,TPE,NRT,台北桃園,東京成田,JQ,捷星亞洲,lcc,summer,5786
